Entrez,Term
4326926,GO:0055114
4326935,GO:0006950
4326935,GO:0009415
4324241,GO:0006355
4324245,GO:0008299
4324247,GO:0006810
4324247,GO:0006886
4324247,GO:0016192
4324249,GO:0055085
9267257,GO:0006821
9267257,GO:0055085
4327671,GO:0006355
4327674,GO:0006412
4327677,GO:0008152
4327678,GO:0006886
4327678,GO:0016192
4327680,GO:0006334
4327680,GO:0006355
4327681,GO:0006499
4327687,GO:0006810
4327687,GO:0055085
4327824,GO:0006468
4327831,GO:0006629
4327833,GO:0015991
4327833,GO:0015992
4327833,GO:0046034
4325930,GO:0006508
4325931,GO:0006468
4325938,GO:0005975
4325945,GO:0006355
4325946,GO:0007264
4325946,GO:0015031
4325575,GO:0005975
4325576,GO:0006820
4325576,GO:0044070
4325576,GO:0055085
4325584,GO:0008152
4324691,GO:0006468
4324697,GO:0006810
4324697,GO:0008272
4324697,GO:0055085
4324699,GO:0030001
4324704,GO:0008152
4324705,GO:0009765
4324654,GO:0009058
4324654,GO:0009250
4324666,GO:0005975
4324667,GO:0051252
4324717,GO:0055114
4324717,GO:0006108
4324718,GO:0009116
4324718,GO:0009165
4324720,GO:0006810
4324720,GO:0055085
4324727,GO:0006468
4324731,GO:0006355
9267846,GO:0006629
4324423,GO:0005992
4324423,GO:0008152
4324425,GO:0006457
4324426,GO:0006355
4324428,GO:0006260
4324434,GO:0006886
4324152,GO:0000917
4324158,GO:0006355
4324160,GO:0055114
4324161,GO:0006355
4324162,GO:0006412
4324163,GO:0055114
4324165,GO:0008152
4324166,GO:0008152
4327868,GO:0008152
4327870,GO:0009058
4327884,GO:0006468
4327198,GO:0006508
4327199,GO:0006470
4327199,GO:0016311
4327203,GO:0005975
4327211,GO:0006468
4326541,GO:0006355
4326546,GO:0006468
4326547,GO:0005975
4326547,GO:0006096
4326550,GO:0006508
4326551,GO:0006418
4326551,GO:0006436
4326552,GO:0006108
4326552,GO:0055114
4326165,GO:0006508
4326167,GO:0007018
4326170,GO:0006468
4326175,GO:0006355
4326178,GO:0005975
4325541,GO:0006468
4325542,GO:0019856
4325550,GO:0006468
4325550,GO:0009966
4325555,GO:0006412
4325556,GO:0006355
4324623,GO:0007264
4324623,GO:0015031
4324623,GO:0006184
4324623,GO:0006886
4324623,GO:0006913
4324623,GO:0007165
4324624,GO:0006355
4324625,GO:0030244
4324628,GO:0006468
4324634,GO:0006629
4327004,GO:0006412
4327007,GO:0009245
4327011,GO:0055114
4327012,GO:0006289
4327012,GO:0006468
4327014,GO:0006355
4327014,GO:0009725
4325131,GO:0006075
4325139,GO:0006355
4325143,GO:0006811
4325143,GO:0006813
4325143,GO:0055085
4325145,GO:0055114
4325305,GO:0006281
4325308,GO:0006355
4325309,GO:0006099
4325309,GO:0015977
4325611,GO:0006468
4325611,GO:0007165
4325616,GO:0006810
4325616,GO:0055085
4325617,GO:0007017
4325620,GO:0007165
4325621,GO:0006520
4325621,GO:0009058
4327020,GO:0008152
4327022,GO:0006857
4327034,GO:0006071
4327034,GO:0006629
9269364,GO:0055114
4326889,GO:0009073
4326889,GO:0046417
4326891,GO:0008652
4326892,GO:0006139
4326892,GO:0006281
4326892,GO:0006310
4326892,GO:0006974
4326894,GO:0008152
4325498,GO:0006508
4325502,GO:0006810
4325596,GO:0006508
4325596,GO:0043086
4325600,GO:0006468
4325604,GO:0006520
4325604,GO:0019752
4324610,GO:0035434
4324611,GO:0035434
4324616,GO:0006511
4324619,GO:0005975
4324620,GO:0016075
9270266,GO:0006367
9270266,GO:0006366
4324710,GO:0006468
4324712,GO:0006614
4327159,GO:0006352
4327159,GO:0016570
4327887,GO:0009690
4327887,GO:0055114
4327899,GO:0006281
4326435,GO:0006468
4327835,GO:0051013
4327836,GO:0015031
4327837,GO:0009416
4327841,GO:0006952
4327842,GO:0006952
4327845,GO:0007205
4327055,GO:0007205
4327057,GO:0006950
4327058,GO:0006879
4327058,GO:0055114
4327038,GO:0006468
4327038,GO:0048544
4327039,GO:0045892
4327052,GO:0006979
4327052,GO:0055114
4325860,GO:0006810
4325861,GO:0042545
4325862,GO:0006952
4325864,GO:0006355
4325867,GO:0008654
4325868,GO:0006468
4324135,GO:0055114
4324136,GO:0006413
4324137,GO:0006508
4324137,GO:0043086
4325624,GO:0006508
4325624,GO:0043086
4325632,GO:0006631
4325632,GO:0055114
4327621,GO:0006355
4327630,GO:0006952
4327631,GO:0006281
4327631,GO:0006284
4327953,GO:0006508
4327960,GO:0006281
4327961,GO:0006281
4327963,GO:0005975
4327964,GO:0005975
4327964,GO:0006072
4327964,GO:0046168
4327964,GO:0055114
4327968,GO:0016114
4327533,GO:0055085
4327539,GO:0055114
4327540,GO:0055114
4327541,GO:0006412
4327544,GO:0015979
4327545,GO:0008152
4327547,GO:0000079
4327547,GO:0051726
4327549,GO:0006351
4327550,GO:0006184
4327550,GO:0007017
4327550,GO:0007018
4327550,GO:0051258
4327558,GO:0006208
9266109,GO:0006355
9266109,GO:0006351
4327560,GO:0006468
4327565,GO:0055114
4327566,GO:0006364
4327567,GO:0006396
4327567,GO:0016075
4327353,GO:0006468
4327357,GO:0006511
4327357,GO:0051603
4327359,GO:0034968
4327362,GO:0006355
4327587,GO:0006412
4327590,GO:0006355
4327591,GO:0006886
4327591,GO:0007264
4327591,GO:0015031
4327593,GO:0005975
4327594,GO:0032312
9270480,GO:0006869
4327479,GO:0006535
4327479,GO:0008152
4327480,GO:0055114
9269256,GO:0006412
4327483,GO:0006412
4327485,GO:0006355
4327488,GO:0055114
4327493,GO:0006007
4327493,GO:0008152
4327495,GO:0055085
4327441,GO:0006355
9267172,GO:0006468
4327606,GO:0006468
4327611,GO:0006355
4327614,GO:0006468
4327615,GO:0006468
4327568,GO:0009664
4327570,GO:0006412
4327575,GO:0016567
4327577,GO:0006468
4327577,GO:0007165
4327586,GO:0006886
4327517,GO:0030001
4327518,GO:0006355
4327521,GO:0007154
4327522,GO:0046274
4327522,GO:0055114
4327524,GO:0006887
4327525,GO:0006887
4327420,GO:0045454
4327423,GO:0005975
4327423,GO:0006108
4327423,GO:0044262
4327423,GO:0055114
4327424,GO:0055085
4327425,GO:0016226
4327426,GO:0055114
4327434,GO:0072488
4327436,GO:0006629
4327437,GO:0045454
4327438,GO:0006468
4327401,GO:0055114
4327402,GO:0006468
4327407,GO:0006508
4327409,GO:0006810
4327409,GO:0006886
4327409,GO:0016192
4327412,GO:0015991
9268285,GO:0006355
4327414,GO:0006412
4327418,GO:0032313
4327453,GO:0055114
4327367,GO:0044237
4327372,GO:0006468
4327382,GO:0006412
4327384,GO:0006334
4327390,GO:0006355
4327400,GO:0006096
4327400,GO:0008152
4327500,GO:0046274
4327500,GO:0055114
4327501,GO:0046274
4327501,GO:0055114
4327502,GO:0006508
4327502,GO:0030163
4327507,GO:0006457
4327512,GO:0006355
4327465,GO:0006470
4327470,GO:0006352
4327475,GO:0055114
4327476,GO:0055114
4324853,GO:0006561
4324853,GO:0008152
4324853,GO:0008652
4324853,GO:0055114
4324855,GO:0006355
4324856,GO:0006184
4324856,GO:0006886
4324856,GO:0006913
4324856,GO:0007165
4324856,GO:0007264
4324856,GO:0015031
4324861,GO:0006950
4324801,GO:0006355
4324802,GO:0046274
4324802,GO:0055114
4324803,GO:0046274
4324803,GO:0055114
4324809,GO:0006629
4324809,GO:0008202
4324809,GO:0055114
4324810,GO:0005975
4324813,GO:0055085
4324820,GO:0006355
4324824,GO:0006355
4324825,GO:0055114
4324826,GO:0008152
4324752,GO:0005975
9266107,GO:0005975
4324758,GO:0006810
4324758,GO:0055085
9271540,GO:0055114
4325055,GO:0006352
4325058,GO:0006486
4325061,GO:0006355
4325062,GO:0006470
4325062,GO:0016311
4325063,GO:0006355
4325065,GO:0006412
4325066,GO:0005975
4325067,GO:0005975
4324736,GO:0005975
4324741,GO:0006066
4324745,GO:0007154
4324781,GO:0006355
4324783,GO:0006355
4324794,GO:0008152
4324797,GO:0006355
4325070,GO:0006810
4325070,GO:0016192
4325071,GO:0005975
4325072,GO:0006796
4325078,GO:0006355
4325046,GO:0005975
4325046,GO:0008152
4325046,GO:0030259
4325052,GO:0006139
4325052,GO:0006260
4324925,GO:0006508
4324925,GO:0043086
4324927,GO:0015693
4324929,GO:0008152
4324934,GO:0006468
4324937,GO:0072488
4324938,GO:0006468
4324941,GO:0009058
4324941,GO:0042218
4324943,GO:0006857
4324944,GO:0006857
4324947,GO:0006857
4324948,GO:0006857
9270493,GO:0006857
4324951,GO:0006857
4324952,GO:0006139
4324953,GO:0006468
4324769,GO:0006139
4324770,GO:0006355
4324771,GO:0006810
4324773,GO:0006544
4324773,GO:0006563
4324775,GO:0006950
4324777,GO:0005975
4324778,GO:0006457
9267520,GO:0006821
9267520,GO:0055085
4325086,GO:0006486
4325091,GO:0006468
4325095,GO:0006725
4325095,GO:0055114
4324833,GO:0006725
4324833,GO:0055114
4324837,GO:0005975
4324844,GO:0006631
4324844,GO:0055114
4324847,GO:0048268
4325001,GO:0006355
4325003,GO:0055114
4325006,GO:0006355
4325007,GO:0016567
4325008,GO:0006352
4325008,GO:0016570
4324885,GO:0006468
4324885,GO:0048544
4324888,GO:0006355
4324891,GO:0006457
4324898,GO:0006355
4324899,GO:0006189
4324900,GO:0008219
4324901,GO:0006468
4324904,GO:0006614
4324909,GO:0006468
4324909,GO:0048544
4324914,GO:0005975
4324916,GO:0055114
4324956,GO:0006468
4324956,GO:0009966
4324962,GO:0006014
4324965,GO:0006457
4324965,GO:0015031
9267167,GO:0006457
4325106,GO:0005975
4325106,GO:0030245
4325111,GO:0006629
4325111,GO:0008152
4325028,GO:0008643
4325029,GO:0006468
4325036,GO:0006629
4325040,GO:0016567
4325041,GO:0006259
4325041,GO:0006281
4325044,GO:0008152
9266226,GO:0008152
4325012,GO:0006508
4325013,GO:0008152
4325018,GO:0006468
4325020,GO:0006281
4325020,GO:0006310
4325020,GO:0007062
4325020,GO:0030261
4325020,GO:0051276
4325022,GO:0000160
4325022,GO:0006355
4325023,GO:0006887
